customer_ref,source_industry,tenure,gender,engagement_score,monetary_value,product_or_service_count,support_friction,is_active,churn,tenure_score
ecom_50032,ecommerce,0.0,male,0.35875,0.49638450413858887,1.0,0,1,0,0.0
ecom_50033,ecommerce,30.0,female,0.43875,0.4106587895012154,1.0,1,1,0,0.4918032786885246
ecom_50034,ecommerce,13.0,male,0.45749999999999996,0.6417120526785439,2.0,0,1,0,0.21311475409836064
ecom_50035,ecommerce,9.0,female,0.37875,0.37635004153973967,1.0,0,1,0,0.14754098360655737
ecom_50036,ecommerce,0.0,male,0.39749999999999996,0.3791808978737807,2.0,0,1,0,0.0
ecom_50037,ecommerce,9.0,male,0.3175,0.36998061478814737,2.0,0,1,0,0.14754098360655737
ecom_50038,ecommerce,1.0,male,0.13874999999999998,0.3911812671159112,1.0,0,1,0,0.01639344262295082
ecom_50039,ecommerce,30.0,male,0.23875000000000002,0.5981414812763469,1.0,1,1,0,0.4918032786885246
ecom_50040,ecommerce,0.0,male,0.43875,0.38665805101695433,1.0,1,1,0,0.0
ecom_50041,ecommerce,23.0,female,0.35500000000000004,0.9208283331794824,4.0,0,1,0,0.3770491803278688
ecom_50042,ecommerce,14.0,male,0.29875,0.38311948059940304,1.0,0,1,0,0.22950819672131148
ecom_50043,ecommerce,3.0,female,0.41125,0.5975260777254685,7.0,0,1,0,0.04918032786885246
ecom_50044,ecommerce,11.0,female,0.35875,0.5749715375857719,1.0,0,1,0,0.18032786885245902
ecom_50045,ecommerce,5.0,male,0.13874999999999998,0.4011815748176867,1.0,0,1,0,0.08196721311475409
ecom_50046,ecommerce,0.0,male,0.13874999999999998,0.4017969783685652,1.0,1,1,0,0.0
ecom_50047,ecommerce,0.0,female,0.49874999999999997,0.37924243822886855,1.0,0,1,1,0.0
ecom_50048,ecommerce,9.0,male,0.33125000000000004,0.37194990615095846,7.0,0,1,0,0.14754098360655737
ecom_50049,ecommerce,3.0,male,0.23249999999999998,0.4022277608541801,6.0,0,1,0,0.04918032786885246
ecom_50050,ecommerce,18.0,female,0.21875,0.46173728422412996,1.0,1,1,0,0.29508196721311475
ecom_50051,ecommerce,29.0,female,0.39749999999999996,0.43869042124373053,2.0,1,1,0,0.47540983606557374
ecom_50052,ecommerce,6.0,male,0.29875,0.38462721929905536,1.0,0,1,0,0.09836065573770492
ecom_50053,ecommerce,0.0,male,0.35875,0.341610511092649,1.0,0,1,1,0.0
ecom_50054,ecommerce,19.0,female,0.64125,0.6293424413058863,15.0,0,1,0,0.3114754098360656
ecom_50055,ecommerce,9.0,female,0.39749999999999996,0.37810394165974337,2.0,0,1,0,0.14754098360655737
ecom_50056,ecommerce,4.0,female,0.37875,0.4285978030093233,1.0,1,1,0,0.06557377049180328
ecom_50057,ecommerce,9.0,female,0.37875,0.37881165574325365,1.0,0,1,0,0.14754098360655737
ecom_50058,ecommerce,4.0,female,0.13874999999999998,0.404320132927167,1.0,1,1,1,0.06557377049180328
ecom_50059,ecommerce,23.0,male,0.35875,0.4212437305763254,1.0,0,1,0,0.3770491803278688
ecom_50060,ecommerce,26.0,female,0.23875000000000002,0.444629065509708,1.0,0,1,0,0.4262295081967213
ecom_50061,ecommerce,6.0,female,0.13874999999999998,0.39250438475030003,1.0,0,1,0,0.09836065573770492
ecom_50062,ecommerce,13.0,female,0.44875,0.8933505646327579,9.0,0,1,0,0.21311475409836064
ecom_50063,ecommerce,28.0,male,0.33749999999999997,0.8837810394165975,2.0,0,1,0,0.45901639344262296
ecom_50064,ecommerce,7.0,male,0.35875,0.6014646604510908,1.0,0,1,0,0.11475409836065574
ecom_50065,ecommerce,24.0,female,0.36,0.7302993938275023,0.0,0,1,0,0.39344262295081966
ecom_50066,ecommerce,25.0,male,0.62625,0.923074556140189,11.0,0,1,0,0.4098360655737705
ecom_50067,ecommerce,9.0,female,0.29875,0.37782701006184805,1.0,0,1,0,0.14754098360655737
ecom_50068,ecommerce,0.0,male,0.35875,0.4897381457891012,1.0,1,1,1,0.0
ecom_50069,ecommerce,9.0,male,0.2575,0.37198067632850235,2.0,0,1,0,0.14754098360655737
ecom_50070,ecommerce,18.0,male,0.62625,0.8243945967568234,11.0,0,1,0,0.29508196721311475
ecom_50071,ecommerce,10.0,male,0.31875,0.41736668820579087,1.0,1,1,0,0.16393442622950818
ecom_50072,ecommerce,8.0,female,0.29875,0.4438598110711099,1.0,0,1,0,0.13114754098360656
ecom_50073,ecommerce,15.0,female,0.29875,0.4697067602080064,1.0,0,1,0,0.2459016393442623
ecom_50074,ecommerce,11.0,male,0.29875,0.5093387488845811,1.0,0,1,0,0.18032786885245902
ecom_50075,ecommerce,11.0,male,0.29875,0.5003538570417552,1.0,0,1,0,0.18032786885245902
ecom_50076,ecommerce,0.0,male,0.3775,0.4399519985230314,2.0,0,1,0,0.0
ecom_50077,ecommerce,22.0,male,0.37875,0.517062063448106,1.0,1,1,0,0.36065573770491804
ecom_50078,ecommerce,7.0,male,0.3175,0.42509000276931597,2.0,1,1,0,0.11475409836065574
ecom_50079,ecommerce,13.0,male,0.17625,0.39204283208714114,3.0,1,1,0,0.21311475409836064
ecom_50080,ecommerce,1.0,male,0.37875,0.513031170189852,1.0,1,1,1,0.01639344262295082
ecom_50081,ecommerce,0.0,female,0.29875,0.5427551616972829,1.0,0,1,1,0.0
ecom_50082,ecommerce,0.0,male,0.2575,0.37933474876150036,2.0,1,1,0,0.0
ecom_50083,ecommerce,9.0,female,0.37875,0.37394996769131356,1.0,0,1,0,0.14754098360655737
ecom_50084,ecommerce,13.0,male,0.43875,0.4577371611434198,1.0,0,1,0,0.21311475409836064
ecom_50085,ecommerce,19.0,male,0.37875,0.5968183636419582,1.0,0,1,0,0.3114754098360656
ecom_50086,ecommerce,0.0,male,0.56875,0.6277116218960583,9.0,0,1,1,0.0
ecom_50087,ecommerce,3.0,male,0.43375,0.5684482599464599,5.0,0,1,0,0.04918032786885246
ecom_50088,ecommerce,0.0,female,0.29875,0.6148189175051539,1.0,0,1,0,0.0
ecom_50089,ecommerce,24.0,male,0.41500000000000004,0.6920212929628603,4.0,0,0,0,0.39344262295081966
ecom_50090,ecommerce,0.0,female,0.29875,0.38945813717345146,1.0,1,1,1,0.0
ecom_50091,ecommerce,14.0,female,0.36,0.7258992584387213,0.0,1,1,0,0.22950819672131148
ecom_50092,ecommerce,0.0,female,0.35875,0.5137388842733622,1.0,0,1,1,0.0
ecom_50093,ecommerce,9.0,male,0.29875,0.3710268008246408,1.0,0,1,1,0.14754098360655737
ecom_50094,ecommerce,18.0,female,0.565,0.5804793993661344,12.0,0,1,0,0.29508196721311475
ecom_50095,ecommerce,27.0,female,0.29875,0.4904766300501554,1.0,0,1,0,0.4426229508196721
ecom_50096,ecommerce,9.0,male,0.41625,0.4896766054340133,3.0,0,1,0,0.14754098360655737
ecom_50097,ecommerce,6.0,female,0.35875,0.3883811809594141,1.0,0,1,0,0.09836065573770492
ecom_50098,ecommerce,10.0,male,0.29875,0.6826363888119635,1.0,1,0,0,0.16393442622950818
ecom_50099,ecommerce,11.0,male,0.45375,0.6341425890027385,5.0,0,1,0,0.18032786885245902
ecom_50100,ecommerce,4.0,male,0.41875,0.4413981968675959,1.0,0,1,0,0.06557377049180328
ecom_50101,ecommerce,9.0,male,0.43875,0.3746884519523678,1.0,0,1,0,0.14754098360655737
ecom_50102,ecommerce,10.0,male,0.37375,0.0,5.0,0,1,0,0.16393442622950818
ecom_50103,ecommerce,2.0,female,0.35500000000000004,0.551340041232038,4.0,0,1,0,0.03278688524590164
ecom_50104,ecommerce,8.0,female,0.37875,0.578140865872796,1.0,0,1,0,0.13114754098360656
ecom_50105,ecommerce,0.0,male,0.35875,0.3812117295916797,1.0,1,1,1,0.0
ecom_50106,ecommerce,25.0,female,0.3775,0.40653558571032955,2.0,0,1,0,0.4098360655737705
ecom_50107,ecommerce,15.0,male,0.48625,0.8994738299639988,11.0,0,1,0,0.2459016393442623
ecom_50108,ecommerce,9.0,male,0.3175,0.3774577679313209,2.0,0,1,0,0.14754098360655737
ecom_50109,ecommerce,23.0,female,0.37875,0.9082433305640174,1.0,0,1,0,0.3770491803278688
ecom_50110,ecommerce,0.0,male,0.29875,0.3826579279362442,1.0,1,1,1,0.0
ecom_50111,ecommerce,16.0,female,0.36,0.8019939075048462,0.0,1,1,0,0.26229508196721313
ecom_50112,ecommerce,0.0,female,0.13874999999999998,0.39099664605064766,1.0,0,1,1,0.0
ecom_50113,ecommerce,25.0,male,0.7012499999999999,0.8944275208467953,15.0,1,1,0,0.4098360655737705
ecom_50114,ecommerce,5.0,female,0.29875,0.4286593433644112,1.0,0,1,0,0.08196721311475409
ecom_50115,ecommerce,0.0,male,0.43875,0.4224745376780824,1.0,1,1,1,0.0
ecom_50116,ecommerce,9.0,female,0.37875,0.3763808117172836,1.0,0,1,0,0.14754098360655737
ecom_50117,ecommerce,5.0,male,0.39749999999999996,0.4450906181728669,2.0,0,1,0,0.08196721311475409
ecom_50118,ecommerce,14.0,male,0.13874999999999998,0.4022277608541801,1.0,0,1,0,0.22950819672131148
ecom_50119,ecommerce,13.0,male,0.435,0.40982799470752945,4.0,0,1,0,0.21311475409836064
ecom_50120,ecommerce,18.0,male,0.31875,0.898550724637681,1.0,0,1,0,0.29508196721311475
ecom_50121,ecommerce,4.0,male,0.36,0.7284839533524108,0.0,0,1,0,0.06557377049180328
ecom_50122,ecommerce,6.0,female,0.19874999999999998,0.3972737622696083,1.0,0,1,0,0.09836065573770492
ecom_50123,ecommerce,7.0,male,0.43375,0.49099972306840206,5.0,0,1,0,0.11475409836065574
ecom_50124,ecommerce,10.0,female,0.35875,0.428320871411428,1.0,0,1,0,0.16393442622950818
ecom_50125,ecommerce,18.0,male,0.31875,0.5056770977568541,1.0,0,1,0,0.29508196721311475
ecom_50126,ecommerce,0.0,male,0.37875,0.6168805194005968,1.0,0,1,1,0.0
ecom_50127,ecommerce,12.0,female,0.5662499999999999,0.6442659774146896,11.0,0,0,0,0.19672131147540983
ecom_50128,ecommerce,2.0,male,0.29875,0.37970399089202744,1.0,0,1,0,0.03278688524590164
ecom_50129,ecommerce,15.0,female,0.23875000000000002,0.5090925874642296,1.0,1,1,0,0.2459016393442623
ecom_50130,ecommerce,2.0,male,0.29875,0.5209698759961845,1.0,0,1,0,0.03278688524590164
ecom_50131,ecommerce,0.0,female,0.37875,0.45841410504938607,1.0,0,1,0,0.0
ecom_50132,ecommerce,15.0,female,0.47125000000000006,0.38748884581064036,7.0,1,1,0,0.2459016393442623
ecom_50133,ecommerce,13.0,male,0.33625000000000005,0.9057509461829595,3.0,0,1,0,0.21311475409836064
ecom_50134,ecommerce,24.0,male,0.13874999999999998,0.3914889688913505,1.0,0,1,0,0.39344262295081966
ecom_50135,ecommerce,0.0,male,0.43875,0.4147512231145573,1.0,0,1,1,0.0
ecom_50136,ecommerce,5.0,male,0.07875,0.39367365149696915,1.0,0,1,0,0.08196721311475409
ecom_50137,ecommerce,11.0,male,0.47125000000000006,0.4692144373673036,7.0,0,1,0,0.18032786885245902
ecom_50138,ecommerce,9.0,male,0.35875,0.3746576817748238,1.0,0,1,0,0.14754098360655737
ecom_50139,ecommerce,19.0,female,0.61125,0.8268562109603373,7.0,1,1,0,0.3114754098360656
ecom_50140,ecommerce,0.0,male,0.37875,0.4149358441798209,1.0,0,1,1,0.0
ecom_50141,ecommerce,2.0,male,0.43875,0.5121388350410782,1.0,0,1,0,0.03278688524590164
ecom_50142,ecommerce,4.0,male,0.55125,0.4794609064894304,7.0,0,1,0,0.06557377049180328
ecom_50143,ecommerce,0.0,male,0.23875000000000002,0.430782485614942,1.0,0,1,0,0.0
ecom_50144,ecommerce,18.0,male,0.36,0.7229760915720483,0.0,1,1,0,0.29508196721311475
ecom_50145,ecommerce,9.0,male,0.4675,0.4064740453552417,10.0,0,1,0,0.14754098360655737
ecom_50146,ecommerce,28.0,male,0.35500000000000004,0.893719806763285,4.0,1,1,0,0.45901639344262296
ecom_50147,ecommerce,10.0,male,0.44875,0.6722976091572048,9.0,1,0,1,0.16393442622950818
ecom_50148,ecommerce,9.0,male,0.37875,0.3713960429551678,1.0,0,1,0,0.14754098360655737
ecom_50149,ecommerce,10.0,male,0.37875,0.507769469829841,1.0,0,1,0,0.16393442622950818
ecom_50150,ecommerce,0.0,male,0.43875,0.4070894489061202,1.0,0,1,0,0.0
ecom_50151,ecommerce,10.0,female,0.12,0.7262685005692482,0.0,1,1,0,0.16393442622950818
ecom_50152,ecommerce,2.0,female,0.4125,0.6768208252561616,6.0,0,0,0,0.03278688524590164
ecom_50153,ecommerce,11.0,female,0.35125000000000006,0.48016862057294074,7.0,1,1,0,0.18032786885245902
ecom_50154,ecommerce,0.0,female,0.29875,0.5045386011877289,1.0,0,1,0,0.0
ecom_50155,ecommerce,23.0,male,0.37875,0.8967660543401335,1.0,0,1,0,0.3770491803278688
ecom_50156,ecommerce,26.0,male,0.29875,0.8487645773716114,1.0,1,1,0,0.4262295081967213
ecom_50157,ecommerce,15.0,male,0.48625,0.45869103664728145,11.0,0,1,0,0.2459016393442623
ecom_50158,ecommerce,2.0,male,0.29875,0.4478291639742761,1.0,0,1,0,0.03278688524590164
ecom_50159,ecommerce,28.0,male,0.29875,0.47432228683959504,1.0,1,1,0,0.45901639344262296
ecom_50160,ecommerce,0.0,male,0.33625000000000005,0.45358318717498997,3.0,1,1,0,0.0
ecom_50161,ecommerce,9.0,female,0.37375,0.37278070094464444,5.0,0,1,0,0.14754098360655737
ecom_50162,ecommerce,7.0,male,0.13874999999999998,0.4049663066555894,1.0,1,1,1,0.11475409836065574
ecom_50163,ecommerce,11.0,male,0.29875,0.4844764454290901,1.0,0,1,0,0.18032786885245902
ecom_50164,ecommerce,0.0,male,0.29875,0.38071940675097693,1.0,1,1,1,0.0
ecom_50165,ecommerce,1.0,female,0.37875,0.40955106310963413,1.0,0,1,0,0.01639344262295082
ecom_50166,ecommerce,22.0,female,0.29875,0.8820271392965936,1.0,1,1,0,0.36065573770491804
ecom_50167,ecommerce,9.0,male,0.33125000000000004,0.4457060217237453,7.0,0,1,0,0.14754098360655737
ecom_50168,ecommerce,4.0,female,0.1575,0.39351980060924946,2.0,0,1,0,0.06557377049180328
ecom_50169,ecommerce,0.0,male,0.47125000000000006,0.48703037016523587,7.0,1,1,1,0.0
ecom_50170,ecommerce,10.0,male,0.29875,0.3792732084064125,1.0,1,1,0,0.16393442622950818
ecom_50171,ecommerce,15.0,female,0.36,0.7238684267208222,0.0,0,1,0,0.2459016393442623
ecom_50172,ecommerce,9.0,male,0.29875,0.3513954275516169,1.0,0,1,1,0.14754098360655737
ecom_50173,ecommerce,8.0,male,0.4725,0.5544785993415181,6.0,0,1,0,0.13114754098360656
ecom_50174,ecommerce,9.0,male,0.23875000000000002,0.42118219022123754,1.0,0,1,0,0.14754098360655737
ecom_50175,ecommerce,24.0,male,0.41875,0.47638388873503795,1.0,0,1,0,0.39344262295081966
ecom_50176,ecommerce,14.0,male,0.28,0.800486168805194,0.0,0,1,0,0.22950819672131148
ecom_50177,ecommerce,0.0,female,0.43875,0.3446259884919536,1.0,0,1,0,0.0
ecom_50178,ecommerce,1.0,male,0.31875,0.4818917505154005,1.0,0,1,0,0.01639344262295082
ecom_50179,ecommerce,4.0,male,0.43125,0.5209083356410966,7.0,0,1,0,0.06557377049180328
ecom_50180,ecommerce,12.0,male,0.27625,0.6034954921689898,3.0,0,1,0,0.19672131147540983
ecom_50181,ecommerce,9.0,female,0.29875,0.4822917628234715,1.0,0,1,0,0.14754098360655737
ecom_50182,ecommerce,5.0,male,0.495,0.4764454290901258,4.0,0,1,0,0.08196721311475409
ecom_50183,ecommerce,11.0,female,0.35875,0.6788208867965169,1.0,0,0,0,0.18032786885245902
ecom_50184,ecommerce,30.0,male,0.41875,0.4818609803378565,1.0,1,1,0,0.4918032786885246
ecom_50185,ecommerce,4.0,male,0.29875,0.45604480137850395,1.0,1,1,0,0.06557377049180328
ecom_50186,ecommerce,4.0,male,0.43875,0.5049386134957998,1.0,0,1,0,0.06557377049180328
ecom_50187,ecommerce,18.0,male,0.5287499999999999,0.4680144004430905,9.0,0,1,0,0.29508196721311475
ecom_50188,ecommerce,4.0,male,0.1575,0.3906274039201206,2.0,1,1,0,0.06557377049180328
ecom_50189,ecommerce,6.0,female,0.51,0.6731899443059786,8.0,0,0,0,0.09836065573770492
ecom_50190,ecommerce,12.0,male,0.48625,0.8328871657589464,11.0,1,1,0,0.19672131147540983
ecom_50191,ecommerce,16.0,female,0.29875,0.3832425613095788,1.0,0,1,0,0.26229508196721313
ecom_50192,ecommerce,22.0,female,0.34,0.7373765346626049,0.0,1,1,0,0.36065573770491804
ecom_50193,ecommerce,15.0,male,0.47125000000000006,0.45973722268377487,7.0,0,1,1,0.2459016393442623
ecom_50194,ecommerce,0.0,female,0.29875,0.383950275393089,1.0,1,1,0,0.0
ecom_50195,ecommerce,5.0,female,0.62625,0.4685682636388812,11.0,1,1,0,0.08196721311475409
ecom_50196,ecommerce,0.0,male,0.37875,0.44549063048093784,1.0,1,1,0,0.0
ecom_50197,ecommerce,4.0,male,0.37875,0.5399243053632419,1.0,0,1,0,0.06557377049180328
ecom_50198,ecommerce,5.0,female,0.31875,0.4632450229237823,1.0,0,1,0,0.08196721311475409
ecom_50199,ecommerce,0.0,male,0.4375,0.4142896704513985,2.0,1,1,1,0.0
ecom_50200,ecommerce,3.0,female,0.37875,0.48539955075540786,1.0,0,1,0,0.04918032786885246
ecom_50201,ecommerce,4.0,female,0.49,0.5828794732145605,8.0,0,1,0,0.06557377049180328
ecom_50202,ecommerce,12.0,male,0.58375,0.9007046370657559,13.0,0,1,0,0.19672131147540983
ecom_50203,ecommerce,2.0,female,0.29875,0.4688759654143204,1.0,1,1,1,0.03278688524590164
ecom_50204,ecommerce,6.0,male,0.35875,0.45176774669989844,1.0,0,1,0,0.09836065573770492
ecom_50205,ecommerce,20.0,male,0.29875,0.8707960244930613,1.0,0,1,0,0.32786885245901637
ecom_50206,ecommerce,16.0,female,0.35875,0.46946059878765495,1.0,0,1,0,0.26229508196721313
ecom_50207,ecommerce,0.0,male,0.37875,0.5030616326656205,1.0,1,1,0,0.0
ecom_50208,ecommerce,27.0,female,0.29875,0.45752176990061233,1.0,0,1,0,0.4426229508196721
ecom_50209,ecommerce,16.0,female,0.29875,0.6149419982153297,1.0,0,1,0,0.26229508196721313
ecom_50210,ecommerce,18.0,male,0.5287499999999999,0.42145912181913286,9.0,0,1,0,0.29508196721311475
ecom_50211,ecommerce,13.0,male,0.41875,0.5371549893842887,1.0,1,1,0,0.21311475409836064
ecom_50212,ecommerce,9.0,male,0.49874999999999997,0.37290378165482013,1.0,1,1,1,0.14754098360655737
ecom_50213,ecommerce,2.0,male,0.2975,0.4302593925966953,2.0,0,1,0,0.03278688524590164
ecom_50214,ecommerce,3.0,female,0.27875,0.49595372165297397,1.0,0,1,0,0.04918032786885246
ecom_50215,ecommerce,0.0,female,0.29875,0.4989076586971906,1.0,0,1,0,0.0
ecom_50216,ecommerce,10.0,male,0.37875,0.5030000923105327,1.0,0,1,0,0.16393442622950818
ecom_50217,ecommerce,11.0,male,0.45749999999999996,0.6618665189698145,2.0,1,0,0,0.18032786885245902
ecom_50218,ecommerce,4.0,female,0.35500000000000004,0.5274931536354965,4.0,1,1,0,0.06557377049180328
ecom_50219,ecommerce,2.0,female,0.35875,0.5621096033724114,1.0,1,1,0,0.03278688524590164
ecom_50220,ecommerce,8.0,male,0.37875,0.5567863626573125,1.0,0,1,0,0.13114754098360656
ecom_50221,ecommerce,0.0,male,0.13874999999999998,0.3970583710268008,1.0,0,1,0,0.0
ecom_50222,ecommerce,14.0,male,0.43875,0.4933074863841964,1.0,1,1,0,0.22950819672131148
ecom_50223,ecommerce,20.0,male,0.13874999999999998,0.39927382380996335,1.0,0,1,0,0.32786885245901637
ecom_50224,ecommerce,15.0,female,0.28,0.7997784547216837,0.0,0,1,0,0.2459016393442623
ecom_50225,ecommerce,2.0,male,0.37875,0.45075233084094896,1.0,0,1,0,0.03278688524590164
ecom_50226,ecommerce,15.0,male,0.13874999999999998,0.39065817409766457,1.0,1,1,0,0.2459016393442623
ecom_50227,ecommerce,5.0,female,0.37875,0.3806270962183451,1.0,0,1,0,0.08196721311475409
ecom_50228,ecommerce,21.0,female,0.37875,0.6924520754484754,1.0,0,0,0,0.3442622950819672
ecom_50229,ecommerce,10.0,male,0.3325,0.49152281608664883,6.0,1,1,0,0.16393442622950818
ecom_50230,ecommerce,3.0,female,0.3175,0.4534293362872704,2.0,1,1,0,0.04918032786885246
ecom_50231,ecommerce,0.0,male,0.41125,0.47066063571186806,7.0,0,1,0,0.0
ecom_50232,ecommerce,15.0,male,0.43875,0.5163543493645958,1.0,0,1,0,0.2459016393442623
ecom_50233,ecommerce,9.0,female,0.35875,0.374596141419736,1.0,1,1,1,0.14754098360655737
ecom_50234,ecommerce,9.0,female,0.29875,0.5124157666389735,1.0,0,1,0,0.14754098360655737
ecom_50235,ecommerce,9.0,male,0.35875,0.6061417274377673,1.0,0,1,0,0.14754098360655737
ecom_50236,ecommerce,30.0,male,0.29875,0.5155543247484539,1.0,0,1,0,0.4918032786885246
ecom_50237,ecommerce,9.0,female,0.23875000000000002,0.375796178343949,1.0,1,1,0,0.14754098360655737
ecom_50238,ecommerce,0.0,male,0.3175,0.388011938828887,2.0,0,1,0,0.0
ecom_50239,ecommerce,0.0,female,0.13874999999999998,0.3954275516169728,1.0,1,1,1,0.0
ecom_50240,ecommerce,10.0,female,0.37875,0.41392042832087145,1.0,0,1,0,0.16393442622950818
ecom_50241,ecommerce,19.0,female,0.21875,0.46949136896519894,1.0,0,1,0,0.3114754098360656
ecom_50242,ecommerce,4.0,male,0.41125,0.5955567863626573,7.0,0,1,1,0.06557377049180328
ecom_50243,ecommerce,23.0,male,0.43875,0.6306655589402751,1.0,0,1,0,0.3770491803278688
ecom_50244,ecommerce,3.0,male,0.43875,0.5040155081694822,1.0,1,1,1,0.04918032786885246
ecom_50245,ecommerce,4.0,male,0.3775,0.38945813717345146,2.0,1,1,0,0.06557377049180328
ecom_50246,ecommerce,0.0,female,0.07875,0.39127357764854304,1.0,0,1,1,0.0
ecom_50247,ecommerce,9.0,male,0.29875,0.37542693621342194,1.0,0,1,0,0.14754098360655737
ecom_50248,ecommerce,8.0,male,0.43875,0.50893873657651,1.0,0,1,0,0.13114754098360656
ecom_50249,ecommerce,0.0,male,0.29875,0.4251207729468599,1.0,0,1,0,0.0
ecom_50250,ecommerce,1.0,male,0.37875,0.4693375180774793,1.0,0,1,0,0.01639344262295082
ecom_50251,ecommerce,22.0,male,0.35875,0.4461675743869042,1.0,0,1,0,0.36065573770491804
ecom_50252,ecommerce,24.0,female,0.29875,0.4595833717960553,1.0,0,1,0,0.39344262295081966
ecom_50253,ecommerce,9.0,female,0.39749999999999996,0.3859503369334441,2.0,0,1,0,0.14754098360655737
ecom_50254,ecommerce,0.0,male,0.31875,0.4709067971322194,1.0,1,1,1,0.0
ecom_50255,ecommerce,28.0,female,0.37875,0.8203021631434813,1.0,1,1,0,0.45901639344262296
ecom_50256,ecommerce,0.0,female,0.37875,0.43878273177636234,1.0,1,1,0,0.0
ecom_50257,ecommerce,3.0,male,0.37875,0.38388873503800114,1.0,0,1,0,0.04918032786885246
ecom_50258,ecommerce,0.0,male,0.13874999999999998,0.4031508661804979,1.0,0,1,1,0.0
ecom_50259,ecommerce,9.0,female,0.29875,0.3767500538478107,1.0,0,1,0,0.14754098360655737
ecom_50260,ecommerce,9.0,male,0.58875,0.5414320440628942,9.0,0,1,0,0.14754098360655737
ecom_50261,ecommerce,9.0,male,0.29875,0.37801163112711156,1.0,1,1,1,0.14754098360655737
ecom_50262,ecommerce,10.0,female,0.345,0.401058494107511,12.0,0,1,0,0.16393442622950818
ecom_50263,ecommerce,13.0,female,0.29875,0.4835533401027724,1.0,0,1,0,0.21311475409836064
ecom_50264,ecommerce,15.0,female,0.37875,0.3869657527923936,1.0,0,1,0,0.2459016393442623
ecom_50265,ecommerce,10.0,male,0.29875,0.4368442105910951,1.0,1,1,0,0.16393442622950818
ecom_50266,ecommerce,16.0,male,0.34,0.7488230407089449,0.0,0,1,0,0.26229508196721313
ecom_50267,ecommerce,13.0,female,0.43875,0.4137973476106957,1.0,0,1,0,0.21311475409836064
ecom_50268,ecommerce,27.0,male,0.29875,0.9048278408566417,1.0,0,1,0,0.4426229508196721
