customer_ref,source_industry,churn,tenure_score,gender,engagement_score,monetary_value,product_or_service_count,support_friction,is_active
ecom_00038,ecommerce,0,0.0163934426229508,1,0.6,0.3911812671159112,3,0,1
ecom_00039,ecommerce,0,0.4918032786885246,1,0.4,0.5981414812763469,2,1,1
ecom_00040,ecommerce,0,0.0,1,0.6,0.3866580510169543,4,1,1
ecom_00041,ecommerce,0,0.3770491803278688,0,0.4,0.9208283331794824,3,0,1
ecom_00042,ecommerce,0,0.2295081967213114,1,0.4,0.383119480599403,3,0,1
ecom_00043,ecommerce,0,0.0491803278688524,0,0.4,0.5975260777254685,3,0,1
ecom_00044,ecommerce,0,0.180327868852459,0,0.4,0.5749715375857719,4,0,1
ecom_00045,ecommerce,0,0.081967213114754,1,0.6,0.4011815748176867,3,0,1
ecom_00046,ecommerce,0,0.0,1,0.6,0.4017969783685652,3,1,1
ecom_00047,ecommerce,1,0.0,0,0.6,0.3792424382288685,5,0,0
ecom_00048,ecommerce,0,0.1475409836065573,1,0.2,0.3719499061509584,3,0,1
ecom_00049,ecommerce,0,0.0491803278688524,1,0.6,0.4022277608541801,3,0,1
ecom_00050,ecommerce,0,0.2950819672131147,0,0.2,0.4617372842241299,3,1,1
ecom_00051,ecommerce,0,0.4754098360655737,0,0.6,0.4386904212437305,3,1,1
ecom_00052,ecommerce,0,0.0983606557377049,1,0.4,0.3846272192990553,3,0,1
ecom_00053,ecommerce,1,0.0,1,0.4,0.341610511092649,4,0,0
ecom_00054,ecommerce,0,0.3114754098360656,0,0.6,0.6293424413058863,3,0,1
ecom_00055,ecommerce,0,0.1475409836065573,0,0.6,0.3781039416597433,3,0,1
ecom_00056,ecommerce,0,0.0655737704918032,0,0.6,0.4285978030093233,3,1,1
ecom_00057,ecommerce,0,0.1475409836065573,0,0.6,0.3788116557432536,3,0,1
ecom_00058,ecommerce,1,0.0655737704918032,0,0.6,0.404320132927167,3,1,0
ecom_00059,ecommerce,0,0.3770491803278688,1,0.4,0.4212437305763254,4,0,1
ecom_00060,ecommerce,0,0.4262295081967213,0,0.4,0.444629065509708,2,0,1
ecom_00061,ecommerce,0,0.0983606557377049,0,0.6,0.3925043847503,3,0,1
ecom_00062,ecommerce,0,0.2131147540983606,0,0.4,0.8933505646327579,3,0,1
ecom_00063,ecommerce,0,0.4590163934426229,1,0.6,0.8837810394165975,2,0,1
ecom_00064,ecommerce,0,0.1147540983606557,1,0.4,0.6014646604510908,4,0,1
ecom_00065,ecommerce,0,0.3934426229508196,0,0.6,0.7302993938275023,3,0,1
ecom_00066,ecommerce,0,0.4098360655737705,1,0.6,0.923074556140189,4,0,1
ecom_00067,ecommerce,0,0.1475409836065573,0,0.4,0.377827010061848,3,0,1
ecom_00068,ecommerce,1,0.0,1,0.4,0.4897381457891012,4,1,0
ecom_00069,ecommerce,0,0.1475409836065573,1,0.4,0.3719806763285023,2,0,1
ecom_00070,ecommerce,0,0.2950819672131147,1,0.6,0.8243945967568234,4,0,1
ecom_00071,ecommerce,0,0.1639344262295081,1,0.6,0.4173666882057908,2,1,1
ecom_00072,ecommerce,0,0.1311475409836065,0,0.4,0.4438598110711099,3,0,1
ecom_00073,ecommerce,0,0.2459016393442623,0,0.4,0.4697067602080064,3,0,1
ecom_00074,ecommerce,0,0.180327868852459,1,0.4,0.5093387488845811,3,0,1
ecom_00075,ecommerce,0,0.180327868852459,1,0.4,0.5003538570417552,3,0,1
ecom_00076,ecommerce,0,0.0,1,0.4,0.4399519985230314,4,0,1
ecom_00077,ecommerce,0,0.360655737704918,1,0.6,0.517062063448106,3,1,1
ecom_00078,ecommerce,0,0.1147540983606557,1,0.4,0.4250900027693159,3,1,1
ecom_00079,ecommerce,0,0.2131147540983606,1,0.6,0.3920428320871411,3,1,1
ecom_00080,ecommerce,1,0.0163934426229508,1,0.6,0.513031170189852,3,1,0
ecom_00081,ecommerce,1,0.0,0,0.4,0.5427551616972829,3,0,0
ecom_00082,ecommerce,0,0.0,1,0.4,0.3793347487615003,2,1,1
ecom_00083,ecommerce,0,0.1475409836065573,0,0.6,0.3739499676913135,3,0,1
ecom_00084,ecommerce,0,0.2131147540983606,1,0.6,0.4577371611434198,4,0,1
ecom_00085,ecommerce,0,0.3114754098360656,1,0.6,0.5968183636419582,3,0,1
ecom_00086,ecommerce,1,0.0,1,0.4,0.6277116218960583,5,0,0
ecom_00087,ecommerce,0,0.0491803278688524,1,0.4,0.5684482599464599,4,0,1
ecom_00088,ecommerce,0,0.0,0,0.4,0.6148189175051539,3,0,1
ecom_00089,ecommerce,0,0.3934426229508196,1,0.4,0.6920212929628603,4,0,1
ecom_00090,ecommerce,1,0.0,0,0.4,0.3894581371734514,3,1,0
ecom_00091,ecommerce,0,0.2295081967213114,0,0.6,0.7258992584387213,3,1,1
ecom_00092,ecommerce,1,0.0,0,0.4,0.5137388842733622,4,0,0
ecom_00093,ecommerce,1,0.1475409836065573,1,0.4,0.3710268008246408,3,0,0
ecom_00094,ecommerce,0,0.2950819672131147,0,0.4,0.5804793993661344,4,0,1
ecom_00095,ecommerce,0,0.4426229508196721,0,0.4,0.4904766300501554,3,0,1
ecom_00096,ecommerce,0,0.1475409836065573,1,0.6,0.4896766054340133,3,0,1
ecom_00097,ecommerce,0,0.0983606557377049,0,0.4,0.3883811809594141,4,0,1
ecom_00098,ecommerce,0,0.1639344262295081,1,0.4,0.6826363888119635,3,1,1
ecom_00099,ecommerce,0,0.180327868852459,1,0.6,0.6341425890027385,3,0,1
ecom_00100,ecommerce,0,0.0655737704918032,1,0.4,0.4413981968675959,5,0,1
ecom_00101,ecommerce,0,0.1475409836065573,1,0.6,0.3746884519523678,4,0,1
ecom_00102,ecommerce,0,0.1639344262295081,1,0.4,0.0,3,0,1
ecom_00103,ecommerce,0,0.0327868852459016,0,0.4,0.551340041232038,3,0,1
ecom_00104,ecommerce,0,0.1311475409836065,0,0.6,0.578140865872796,3,0,1
ecom_00105,ecommerce,1,0.0,1,0.4,0.3812117295916797,4,1,0
ecom_00106,ecommerce,0,0.4098360655737705,0,0.4,0.4065355857103295,4,0,1
ecom_00107,ecommerce,0,0.2459016393442623,1,0.4,0.8994738299639988,3,0,1
ecom_00108,ecommerce,0,0.1475409836065573,1,0.4,0.3774577679313209,3,0,1
ecom_00109,ecommerce,0,0.3770491803278688,0,0.6,0.9082433305640174,3,0,1
ecom_00110,ecommerce,1,0.0,1,0.4,0.3826579279362442,3,1,0
ecom_00111,ecommerce,0,0.2622950819672131,0,0.6,0.8019939075048462,3,1,1
ecom_00112,ecommerce,1,0.0,0,0.6,0.3909966460506476,3,0,0
ecom_00113,ecommerce,0,0.4098360655737705,1,0.6,0.8944275208467953,4,1,1
ecom_00114,ecommerce,0,0.081967213114754,0,0.4,0.4286593433644112,3,0,1
ecom_00115,ecommerce,1,0.0,1,0.6,0.4224745376780824,4,1,0
ecom_00116,ecommerce,0,0.1475409836065573,0,0.6,0.3763808117172836,3,0,1
ecom_00117,ecommerce,0,0.081967213114754,1,0.6,0.4450906181728669,3,0,1
ecom_00118,ecommerce,0,0.2295081967213114,1,0.6,0.4022277608541801,3,0,1
ecom_00119,ecommerce,0,0.2131147540983606,1,0.6,0.4098279947075294,3,0,1
ecom_00120,ecommerce,0,0.2950819672131147,1,0.6,0.898550724637681,2,0,1
ecom_00121,ecommerce,0,0.0655737704918032,1,0.6,0.7284839533524108,3,0,1
ecom_00122,ecommerce,0,0.0983606557377049,0,0.6,0.3972737622696083,4,0,1
ecom_00123,ecommerce,0,0.1147540983606557,1,0.4,0.490999723068402,4,0,1
ecom_00124,ecommerce,0,0.1639344262295081,0,0.4,0.428320871411428,4,0,1
ecom_00125,ecommerce,0,0.2950819672131147,1,0.6,0.5056770977568541,2,0,1
ecom_00126,ecommerce,1,0.0,1,0.6,0.6168805194005968,3,0,0
ecom_00127,ecommerce,0,0.1967213114754098,0,0.6,0.6442659774146896,3,0,1
ecom_00128,ecommerce,0,0.0327868852459016,1,0.4,0.3797039908920274,3,0,1
ecom_00129,ecommerce,0,0.2459016393442623,0,0.4,0.5090925874642296,2,1,1
ecom_00130,ecommerce,0,0.0327868852459016,1,0.4,0.5209698759961845,3,0,1
ecom_00131,ecommerce,0,0.0,0,0.6,0.458414105049386,3,0,1
ecom_00132,ecommerce,0,0.2459016393442623,0,0.4,0.3874888458106403,4,1,1
ecom_00133,ecommerce,0,0.2131147540983606,1,0.4,0.9057509461829596,3,0,1
ecom_00134,ecommerce,0,0.3934426229508196,1,0.6,0.3914889688913505,3,0,1
ecom_00135,ecommerce,1,0.0,1,0.6,0.4147512231145573,4,0,0
ecom_00136,ecommerce,0,0.081967213114754,1,0.6,0.3936736514969691,2,0,1
ecom_00137,ecommerce,0,0.180327868852459,1,0.4,0.4692144373673036,4,0,1
ecom_00138,ecommerce,0,0.1475409836065573,1,0.4,0.3746576817748238,4,0,1
ecom_00139,ecommerce,0,0.3114754098360656,0,0.6,0.8268562109603373,5,1,1
ecom_00140,ecommerce,1,0.0,1,0.6,0.4149358441798209,3,0,0
ecom_00141,ecommerce,0,0.0327868852459016,1,0.6,0.5121388350410782,4,0,1
ecom_00142,ecommerce,0,0.0655737704918032,1,0.6,0.4794609064894304,4,0,1
ecom_00143,ecommerce,0,0.0,1,0.4,0.430782485614942,2,0,1
ecom_00144,ecommerce,0,0.2950819672131147,1,0.6,0.7229760915720483,3,1,1
ecom_00145,ecommerce,0,0.1475409836065573,1,0.4,0.4064740453552417,3,0,1
ecom_00146,ecommerce,0,0.4590163934426229,1,0.4,0.893719806763285,3,1,1
ecom_00147,ecommerce,1,0.1639344262295081,1,0.4,0.6722976091572048,3,1,0
ecom_00148,ecommerce,0,0.1475409836065573,1,0.6,0.3713960429551678,3,0,1
ecom_00149,ecommerce,0,0.1639344262295081,1,0.6,0.507769469829841,3,0,1
ecom_00150,ecommerce,0,0.0,1,0.6,0.4070894489061202,4,0,1
ecom_00151,ecommerce,0,0.1639344262295081,0,0.0,0.7262685005692482,3,1,1
ecom_00152,ecommerce,0,0.0327868852459016,0,0.6,0.6768208252561616,2,0,1
ecom_00153,ecommerce,0,0.180327868852459,0,0.4,0.4801686205729407,2,1,1
ecom_00154,ecommerce,0,0.0,0,0.4,0.5045386011877289,3,0,1
ecom_00155,ecommerce,0,0.3770491803278688,1,0.6,0.8967660543401335,3,0,1
ecom_00156,ecommerce,0,0.4262295081967213,1,0.4,0.8487645773716114,3,1,1
ecom_00157,ecommerce,0,0.2459016393442623,1,0.4,0.4586910366472814,3,0,1
ecom_00158,ecommerce,0,0.0327868852459016,1,0.4,0.4478291639742761,3,0,1
ecom_00159,ecommerce,0,0.4590163934426229,1,0.4,0.474322286839595,3,1,1
ecom_00160,ecommerce,0,0.0,1,0.4,0.4535831871749899,3,1,1
ecom_00161,ecommerce,0,0.1475409836065573,0,0.4,0.3727807009446444,3,0,1
ecom_00162,ecommerce,1,0.1147540983606557,1,0.6,0.4049663066555894,3,1,0
ecom_00163,ecommerce,0,0.180327868852459,1,0.4,0.4844764454290901,3,0,1
ecom_00164,ecommerce,1,0.0,1,0.4,0.3807194067509769,3,1,0
ecom_00165,ecommerce,0,0.0163934426229508,0,0.6,0.4095510631096341,3,0,1
ecom_00166,ecommerce,0,0.360655737704918,0,0.4,0.8820271392965936,3,1,1
ecom_00167,ecommerce,0,0.1475409836065573,1,0.2,0.4457060217237453,3,0,1
ecom_00168,ecommerce,0,0.0655737704918032,0,0.6,0.3935198006092494,3,0,1
ecom_00169,ecommerce,1,0.0,1,0.4,0.4870303701652358,4,1,0
ecom_00170,ecommerce,0,0.1639344262295081,1,0.4,0.3792732084064125,3,1,1
ecom_00171,ecommerce,0,0.2459016393442623,0,0.6,0.7238684267208222,3,0,1
ecom_00172,ecommerce,1,0.1475409836065573,1,0.4,0.3513954275516169,3,0,0
ecom_00173,ecommerce,0,0.1311475409836065,1,0.6,0.5544785993415181,3,0,1
ecom_00174,ecommerce,0,0.1475409836065573,1,0.4,0.4211821902212375,2,0,1
ecom_00175,ecommerce,0,0.3934426229508196,1,0.4,0.4763838887350379,5,0,1
ecom_00176,ecommerce,0,0.2295081967213114,1,0.4,0.800486168805194,3,0,1
ecom_00177,ecommerce,0,0.0,0,0.6,0.3446259884919536,4,0,1
ecom_00178,ecommerce,0,0.0163934426229508,1,0.6,0.4818917505154005,2,0,1
ecom_00179,ecommerce,0,0.0655737704918032,1,0.6,0.5209083356410966,2,0,1
ecom_00180,ecommerce,0,0.1967213114754098,1,0.4,0.6034954921689898,2,0,1
ecom_00181,ecommerce,0,0.1475409836065573,0,0.4,0.4822917628234715,3,0,1
ecom_00182,ecommerce,0,0.081967213114754,1,0.6,0.4764454290901258,4,0,1
ecom_00183,ecommerce,0,0.180327868852459,0,0.4,0.6788208867965169,4,0,1
ecom_00184,ecommerce,0,0.4918032786885246,1,0.4,0.4818609803378565,5,1,1
ecom_00185,ecommerce,0,0.0655737704918032,1,0.4,0.4560448013785039,3,1,1
ecom_00186,ecommerce,0,0.0655737704918032,1,0.6,0.5049386134957998,4,0,1
ecom_00187,ecommerce,0,0.2950819672131147,1,0.6,0.4680144004430905,3,0,1
ecom_00188,ecommerce,0,0.0655737704918032,1,0.6,0.3906274039201206,3,1,1
ecom_00189,ecommerce,0,0.0983606557377049,0,0.6,0.6731899443059786,3,0,1
ecom_00190,ecommerce,0,0.1967213114754098,1,0.4,0.8328871657589464,3,1,1
ecom_00191,ecommerce,0,0.2622950819672131,0,0.4,0.3832425613095788,3,0,1
ecom_00192,ecommerce,0,0.360655737704918,0,0.4,0.7373765346626049,4,1,1
ecom_00193,ecommerce,1,0.2459016393442623,1,0.4,0.4597372226837748,4,0,0
ecom_00194,ecommerce,0,0.0,0,0.4,0.383950275393089,3,1,1
ecom_00195,ecommerce,0,0.081967213114754,0,0.6,0.4685682636388812,4,1,1
ecom_00196,ecommerce,0,0.0,1,0.6,0.4454906304809378,3,1,1
ecom_00197,ecommerce,0,0.0655737704918032,1,0.6,0.5399243053632419,3,0,1
ecom_00198,ecommerce,0,0.081967213114754,0,0.6,0.4632450229237823,2,0,1
ecom_00199,ecommerce,1,0.0,1,0.4,0.4142896704513985,5,1,0
ecom_00200,ecommerce,0,0.0491803278688524,0,0.6,0.4853995507554078,3,0,1
ecom_00201,ecommerce,0,0.0655737704918032,0,0.4,0.5828794732145605,4,0,1
ecom_00202,ecommerce,0,0.1967213114754098,1,0.4,0.9007046370657559,4,0,1
ecom_00203,ecommerce,1,0.0327868852459016,0,0.4,0.4688759654143204,3,1,0
ecom_00204,ecommerce,0,0.0983606557377049,1,0.4,0.4517677466998984,4,0,1
ecom_00205,ecommerce,0,0.3278688524590163,1,0.4,0.8707960244930613,3,0,1
ecom_00206,ecommerce,0,0.2622950819672131,0,0.4,0.4694605987876549,4,0,1
ecom_00207,ecommerce,0,0.0,1,0.6,0.5030616326656205,3,1,1
ecom_00208,ecommerce,0,0.4426229508196721,0,0.4,0.4575217699006123,3,0,1
ecom_00209,ecommerce,0,0.2622950819672131,0,0.4,0.6149419982153297,3,0,1
ecom_00210,ecommerce,0,0.2950819672131147,1,0.6,0.4214591218191328,3,0,1
ecom_00211,ecommerce,0,0.2131147540983606,1,0.4,0.5371549893842887,5,1,1
ecom_00212,ecommerce,1,0.1475409836065573,1,0.6,0.3729037816548201,5,1,0
ecom_00213,ecommerce,0,0.0327868852459016,1,0.2,0.4302593925966953,4,0,1
ecom_00214,ecommerce,0,0.0491803278688524,0,0.2,0.4959537216529739,4,0,1
ecom_00215,ecommerce,0,0.0,0,0.4,0.4989076586971906,3,0,1
ecom_00216,ecommerce,0,0.1639344262295081,1,0.6,0.5030000923105327,3,0,1
ecom_00217,ecommerce,0,0.180327868852459,1,0.6,0.6618665189698145,4,1,1
ecom_00218,ecommerce,0,0.0655737704918032,0,0.4,0.5274931536354965,3,1,1
ecom_00219,ecommerce,0,0.0327868852459016,0,0.4,0.5621096033724114,4,1,1
ecom_00220,ecommerce,0,0.1311475409836065,1,0.6,0.5567863626573125,3,0,1
ecom_00221,ecommerce,0,0.0,1,0.6,0.3970583710268008,3,0,1
ecom_00222,ecommerce,0,0.2295081967213114,1,0.6,0.4933074863841964,4,1,1
ecom_00223,ecommerce,0,0.3278688524590163,1,0.6,0.3992738238099633,3,0,1
ecom_00224,ecommerce,0,0.2459016393442623,0,0.4,0.7997784547216837,3,0,1
ecom_00225,ecommerce,0,0.0327868852459016,1,0.6,0.4507523308409489,3,0,1
ecom_00226,ecommerce,0,0.2459016393442623,1,0.6,0.3906581740976645,3,1,1
ecom_00227,ecommerce,0,0.081967213114754,0,0.6,0.3806270962183451,3,0,1
ecom_00228,ecommerce,0,0.3442622950819672,0,0.6,0.6924520754484754,3,0,1
ecom_00229,ecommerce,0,0.1639344262295081,1,0.4,0.4915228160866488,2,1,1
ecom_00230,ecommerce,0,0.0491803278688524,0,0.4,0.4534293362872704,3,1,1
ecom_00231,ecommerce,0,0.0,1,0.4,0.470660635711868,3,0,1
ecom_00232,ecommerce,0,0.2459016393442623,1,0.6,0.5163543493645958,4,0,1
ecom_00233,ecommerce,1,0.1475409836065573,0,0.4,0.374596141419736,4,1,0
ecom_00234,ecommerce,0,0.1475409836065573,0,0.4,0.5124157666389735,3,0,1
ecom_00235,ecommerce,0,0.1475409836065573,1,0.4,0.6061417274377673,4,0,1
ecom_00236,ecommerce,0,0.4918032786885246,1,0.4,0.5155543247484539,3,0,1
ecom_00237,ecommerce,0,0.1475409836065573,0,0.4,0.375796178343949,2,1,1
ecom_00238,ecommerce,0,0.0,1,0.4,0.388011938828887,3,0,1
ecom_00239,ecommerce,1,0.0,0,0.6,0.3954275516169728,3,1,0
ecom_00240,ecommerce,0,0.1639344262295081,0,0.6,0.4139204283208714,3,0,1
ecom_00241,ecommerce,0,0.3114754098360656,0,0.2,0.4694913689651989,3,0,1
ecom_00242,ecommerce,1,0.0655737704918032,1,0.4,0.5955567863626573,3,0,0
ecom_00243,ecommerce,0,0.3770491803278688,1,0.6,0.6306655589402751,4,0,1
ecom_00244,ecommerce,1,0.0491803278688524,1,0.6,0.5040155081694822,4,1,0
ecom_00245,ecommerce,0,0.0655737704918032,1,0.4,0.3894581371734514,4,1,1
ecom_00246,ecommerce,1,0.0,0,0.6,0.391273577648543,2,0,0
ecom_00247,ecommerce,0,0.1475409836065573,1,0.4,0.3754269362134219,3,0,1
ecom_00248,ecommerce,0,0.1311475409836065,1,0.6,0.50893873657651,4,0,1
ecom_00249,ecommerce,0,0.0,1,0.4,0.4251207729468599,3,0,1
ecom_00250,ecommerce,0,0.0163934426229508,1,0.6,0.4693375180774793,3,0,1
ecom_00251,ecommerce,0,0.360655737704918,1,0.4,0.4461675743869042,4,0,1
ecom_00252,ecommerce,0,0.3934426229508196,0,0.4,0.4595833717960553,3,0,1
ecom_00253,ecommerce,0,0.1475409836065573,0,0.6,0.3859503369334441,3,0,1
ecom_00254,ecommerce,1,0.0,1,0.6,0.4709067971322194,2,1,0
ecom_00255,ecommerce,0,0.4590163934426229,0,0.6,0.8203021631434813,3,1,1
ecom_00256,ecommerce,0,0.0,0,0.6,0.4387827317763623,3,1,1
ecom_00257,ecommerce,0,0.0491803278688524,1,0.6,0.3838887350380011,3,0,1
ecom_00258,ecommerce,1,0.0,1,0.6,0.4031508661804979,3,0,0
ecom_00259,ecommerce,0,0.1475409836065573,0,0.4,0.3767500538478107,3,0,1
ecom_00260,ecommerce,0,0.1475409836065573,1,0.6,0.5414320440628942,4,0,1
ecom_00261,ecommerce,1,0.1475409836065573,1,0.4,0.3780116311271115,3,1,0
ecom_00262,ecommerce,0,0.1639344262295081,0,0.6,0.401058494107511,3,0,1
ecom_00263,ecommerce,0,0.2131147540983606,0,0.4,0.4835533401027724,3,0,1
ecom_00264,ecommerce,0,0.2459016393442623,0,0.6,0.3869657527923936,3,0,1
ecom_00265,ecommerce,0,0.1639344262295081,1,0.4,0.4368442105910951,3,1,1
ecom_00266,ecommerce,0,0.2622950819672131,1,0.4,0.7488230407089449,4,0,1
ecom_00267,ecommerce,0,0.2131147540983606,0,0.6,0.4137973476106957,4,0,1
ecom_00268,ecommerce,0,0.4426229508196721,1,0.4,0.9048278408566416,3,0,1
ecom_00269,ecommerce,0,0.1147540983606557,0,0.6,0.5088771962214221,3,0,1
ecom_00270,ecommerce,0,0.0655737704918032,0,0.4,0.4401981599433828,3,0,1
ecom_00271,ecommerce,0,0.1475409836065573,1,0.6,0.3771808363334257,3,0,1
ecom_00272,ecommerce,0,0.2622950819672131,0,0.6,0.4468445182928705,3,1,1
ecom_00273,ecommerce,0,0.0,0,0.4,0.4457675620788332,4,1,1
ecom_00274,ecommerce,0,0.1639344262295081,0,0.6,0.4445982953321641,3,1,1
ecom_00275,ecommerce,0,0.1475409836065573,1,0.6,0.3759500292316687,4,0,1
ecom_00276,ecommerce,0,0.1967213114754098,1,0.4,0.8983968737499616,3,1,1
ecom_00277,ecommerce,0,0.4754098360655737,0,0.4,0.7142373611495738,2,0,1
ecom_00278,ecommerce,0,0.0491803278688524,0,0.4,0.5100772331456352,3,0,1
ecom_00279,ecommerce,0,0.2295081967213114,1,0.4,0.565925105387858,2,0,1
ecom_00280,ecommerce,0,0.0163934426229508,1,0.6,0.4479522446844518,3,0,1
ecom_00281,ecommerce,1,0.0,1,0.6,0.4317363611188036,3,0,0
ecom_00282,ecommerce,0,0.4098360655737705,1,0.4,0.5529093202867781,4,1,1
ecom_00283,ecommerce,0,0.2950819672131147,1,0.6,0.3893658266408197,3,0,1
ecom_00284,ecommerce,0,0.4098360655737705,0,0.2,0.8171020646789132,3,0,1
ecom_00285,ecommerce,0,0.2459016393442623,0,0.6,0.4478907043293639,3,0,1
ecom_00286,ecommerce,0,0.0491803278688524,0,0.4,0.4951229268592879,5,0,1
ecom_00287,ecommerce,0,0.4918032786885246,0,0.4,0.9097510692636696,3,0,1
ecom_00288,ecommerce,0,0.3114754098360656,0,0.4,0.4557063294255207,3,0,1
ecom_00289,ecommerce,0,0.2459016393442623,0,0.4,0.4468752884704144,4,0,1
ecom_00290,ecommerce,1,0.0,0,0.6,0.4062278839348903,3,1,0
ecom_00291,ecommerce,1,0.0,0,0.4,0.3800424628450106,5,0,0
ecom_00292,ecommerce,0,0.1475409836065573,1,0.4,0.3600726176190036,3,1,1
ecom_00293,ecommerce,0,0.2131147540983606,0,0.6,0.8628265485091849,3,0,1
ecom_00294,ecommerce,0,0.0,0,0.6,0.3965045078310102,3,0,1
ecom_00295,ecommerce,0,0.1475409836065573,1,0.4,0.3722268377488538,3,0,1
ecom_00296,ecommerce,0,0.0327868852459016,1,0.6,0.6749438444259824,4,0,1
ecom_00297,ecommerce,1,0.0,0,0.6,0.3860426474660759,4,0,0
ecom_00298,ecommerce,1,0.0,1,0.4,0.3865965106618664,4,0,0
ecom_00299,ecommerce,0,0.0491803278688524,0,0.6,0.5665405089387365,3,0,1
ecom_00300,ecommerce,0,0.4918032786885246,1,0.4,0.7421151420043693,4,0,1
ecom_00301,ecommerce,0,0.3770491803278688,1,0.4,0.83221022185298,4,0,1
ecom_00302,ecommerce,0,0.0491803278688524,0,0.4,0.3865965106618664,3,0,1
ecom_00303,ecommerce,0,0.4918032786885246,0,0.6,0.6235884181051724,4,0,1
ecom_00304,ecommerce,0,0.3278688524590163,0,0.6,0.463706575586941,3,0,1
ecom_00305,ecommerce,0,0.3114754098360656,1,0.4,0.8572879165512786,3,0,1
ecom_00306,ecommerce,0,0.1311475409836065,1,0.4,0.4378596264500446,5,0,1
ecom_00307,ecommerce,0,0.4426229508196721,0,0.4,0.4240130465552786,3,0,1
ecom_00308,ecommerce,0,0.1147540983606557,1,0.6,0.3928736268808271,4,0,1
ecom_00309,ecommerce,0,0.3114754098360656,0,0.6,0.5868180559401828,4,1,1
ecom_00310,ecommerce,0,0.0655737704918032,1,0.4,0.6353426259269517,3,0,1
ecom_00311,ecommerce,1,0.0,1,0.4,0.7264838918120559,3,1,0
ecom_00312,ecommerce,1,0.0,1,0.4,0.4125665405089387,5,0,0
ecom_00313,ecommerce,0,0.0491803278688524,1,0.6,0.3994892150527709,3,0,1
ecom_00314,ecommerce,0,0.1311475409836065,1,0.6,0.5425397704544754,3,1,1
ecom_00315,ecommerce,1,0.0,1,0.6,0.6099879996307579,3,0,0
ecom_00316,ecommerce,1,0.0,0,0.4,0.6138650420012923,3,1,0
ecom_00317,ecommerce,0,0.1475409836065573,1,0.6,0.3721037570386781,3,0,1
